"source_nid","Additional","Street","City","Province"
"25994","","","",""
"40464","","","",""
"55856","","","",""
"59874","","","",""
"94956","","","",""
"131248","","","",""
"132122","","","",""
"132701","1510 E. University Blvd.","Main Library,","Tucson, AZ",""
"133284","3233 E. Speedway Blvd.","The Loft Cinema,","Tucson, AZ",""
"133468","1020 E. University Blvd.","Women's Plaza of Honor,","Tucson, AZ",""
"133607","1025 N. Olive Rd.","Tornabene Theatre,","Tucson, AZ",""
"133623","1031 N. Olive Rd.","University of Arizona Museum of Art,","Tucson, AZ",""
"133628","1305 N. Martin Ave.","Nursing Building, Room 470,","Tucson, AZ",""
"133632","1510 E. University Blvd.","Main Library,","Tucson, AZ",""
"133634","","","",""
"133656","","","",""
"133657","1040 E. 4th St.","Gould-Simpson Building, Room 228A,","Tucson, AZ",""
"133658","","","",""
"133659","","","",""
"133674","101 W. Irvington Rd.","El Pueblo Neighborhood Center, Patio and Multipurpose Room,","Tucson, AZ",""
"133679","1118 E. 4th St.","Physics-Atmospheric Sciences Building, Room 218,","Tucson, AZ",""
"133685","1306 E. University Blvd.","Chemistry Building, Room 311,","Tucson, AZ",""
"133686","3233 E. Speedway Blvd.","The Loft Cinema,","Tucson, AZ",""
"133687","1512 E. First St.","Learning Services Building, Room 107,","Tucson, AZ",""
"133689","","","",""
"133699","","","",""
"133700","","","",""
"133701","1630 E. University Blvd.","Meinel Optical Sciences, Room 821,","Tucson, AZ",""
"133702","Main Library B250, CATalyst Studios","1510 E University Boulevard","Tucson","Arizona"
"133712","Room 821","Meinel Optical Sciences","Tucson","Arizona"
"133713","College of Education, TLS, Worlds of Words","1430 E Second St, Rm 453","Tucson","Arizona"
"133717","1118 E. 4th St.","Physics-Atmospheric Sciences Building, Room 236,","Tucson, AZ",""
"133719","","Washington, D.C. Center for Outreach & Collaboration","Washington, D.C.",""
"133728","Room 224","Social Sciences","Tucson","Arizona"
"133742","Rm. C401","Health Sciences Education Bldg.","Tucson","Arizona"
"133746","Room 228A","Gould Simpson","Tucson","Arizona"
"133747","103","McClelland Park","Tucson","Arizona"
"133751","Room 215","Emil W. Haury Building ","Tucson","Arizona"
"133755","","","",""
"133761","","University Blvd","Tucson","Arizona"
"133762","College of Education, Worlds of Words Center","1430 E Second St, Rm 453","Tucson","Arizona"
"133767","","","",""
"133772","Room 215","Emil W. Haury Building","Tucson","Arizona"
"133789","Room 323","Psychology","Tucson","Arizona"
"133800","","","",""
"133808","Room N305","Steward Observatory","Tucson","Arizona"
"133811","2500 E Ajo Way","Kino Sports Complex","Tucson","Arizona"
"133814","Room 228A","Gould SImpson","Tucson","Arizona"
"133815","Room N305","Steward Observatory","Tucson","Arizona"
"133816","","","",""
"133817","","","",""
"133818","","","",""
"133822","Room 232","John W. Harshbarger Building","Tucson","Arizona"
"133827","","","",""
"133828","","","",""
"133836","","1601 E University Blvd. ","Tucson","Arizona"
"133837","","1601 E University Blvd. ","Tucson","Arizona"
"133838","1209 E University Blvd","University of Arizona BookStore","Tucson","Arizona"
"133839","","","",""
"133851","","","",""
"133852","349","Education","Tucson","Arizona"
"133858","","Psychology 323","Tucson","Arizona"
"133859","2720 East River Road","The Hacienda at the River","Tucson","Arizona"
"133862","","Env and Nat Resources Phase 2, room S395","Tucson","Arizona"
"133863","","Steward Observatory, N305","Tucson","Arizona"
"133864","Rm. 8403","Arizona Health Sciences Center","Tucson","Arizona"
"133865","","","",""
"133870","1303 E. University Blvd","Student Union Memorial Center","Tucson","Arizona"
"133871","Rm. 102","Medical Research Building","Tucson","Arizona"
"133873","Rm. 338A","Civil Engineering","Tucson","Arizona"
"133877","","","",""
"133878","","Communication, room 207","Tucson","Arizona"
"133879","","Gould-Simpson, room 228A","Tucson","Arizona"
"133882","","949 E. Second Street","Tucson","Arizona"
"133883","Suite 605","1670 E. Drachman St.","Tucson","Arizona"
"133891","","","",""
"133893","203","Speech And Hearing Sciences","Tucson","Arizona"
"133905","","","",""
"133906","","","",""
"133909","Room 215","Emil W. Haury Building","Tucson","Arizona"
"133913","KIEWIT AUD","Leon Levy Cancer Center","Tucson","Arizona"
"133914","","","",""
"133919","1601 E University Blvd.","Flandrau Science Center and Planetarium","Tucson","Arizona"
"133920","","","",""
"133930","Room 302","Engineering","Tucson","Arizona"
"133931","Room 332A","Harvill Building","Tucson","Arizona"
"133941","","","",""
"133944","","880 E. 2nd St","Tucson","Arizona"
"133957","","","",""
"133958","","","",""
"133963","","","",""
"133964","1601 E. University Blvd.","Flandrau Planetarium,","Tucson, AZ",""
"133968","Room 530","Electrical & Computer Engineering","Tucson","Arizona"
"133969","","1601 E University Blvd.","Tucson","Arizona"
"133974","","","",""
"133975","","","",""
"133976","Room 207","Communication","Tucson","Arizona"
"133988","","","",""
"133989","236","Physics-Atmospheric Sciences","Tucson","Arizona"
"133993","","","",""
"134004","Room 228A","Gould SImpson","Tucson","Arizona"
"134005","A120","Roy P. Drachman Hall","Tucson","Arizona"
"134006","","","",""
"134008","1657 E Helen St","Thomas W. Keating Bioresearch Building, Room 103","Tucson","Arizona"
"134009","","","",""
"134012","","1601 E University Blvd.","Tucson","Arizona"
"134018","","4190 Arizona 80, Douglas, AZ, 85607","Douglas","Arizona"
"134024","208","Biosciences West","Tucson","Arizona"
"134027","","","",""
"134030","","","",""
"134046","Room 821","Meinel Optical Sciences","Tucson","Arizona"
"134048","Rm. 216","Douglass Building","Tucson","Arizona"
"134057","1510 E. University Blvd.","University of Arizona's Main Library CATalyst Studio (lobby of the Main Library)","TUCSON","Arizona"
"134058","","","",""
"134059","","1670 E Drachman St","Tucson","Arizona"
"134063","","1601 E University Blvd.","Tucson","Arizona"
"134064","","","",""
"134065","","","",""
"134066","","","",""
"134067","","","",""
"134068","Rm. 430E","McClelland Hall","Tucson","Arizona"
"134070","Room S215","Env & Natural Resources Phase 2","Tucson","Arizona"
"134071","","1601 E University Blvd. ","Tucson","Arizona"
"134082","","","",""
"134088","Rm. C401","Health Sciences Innovation Building","Tucson","Arizona"
"134093","Room 440","Shantz Building,","Tucson","Arizona"
"134094","332","Richard P. Harvill Building","Tucson","Arizona"
"134096","218","Physics-Atmospheric Sciences","Tucson","Arizona"
"134097","","Student Union Ballroom","Tucson","Arizona"
"134098","","949 E 2nd St","Tucson","Arizona"
"134099","","","",""
"134106","","","",""
"134109","406A","Cesar E Chavez Building","Tucson","Arizona"
"134121","","","",""
"134122","","1475 N. Scottsdale Road","Scottsdale","Arizona"
"134127","","","",""
"134130","","","",""
"134131","","","",""
"134132","","","",""
"134133","","","",""
"134134","","","Tucson","Arizona"
"134135","","","",""
"134142","","","",""
"134143","","1601 E University Blvd.","Tucson","Arizona"
"134144","","1601 E University Blvd. ","Tucson","Arizona"
"134145","","1601 E University Blvd.","Tucson","Arizona"
"134146","","","",""
"134147","","","",""
"134148","Sullivan Room","College of Law Building,","Tucson","Arizona"
"134150","","","",""
"134161","","","",""
"134162","","","",""
"134163","311","Chemistry","Tucson","Arizona"
"134164","311","Chemistry","Tucson","Arizona"
"134171","Room 821","Meinel Optical Sciences","Tucson","Arizona"
"134173","","1064 E Lowell St","Tucson","Arizona"
"134174","Rm. 301","Engineering Bldg. ","Tucson","Arizona"
"134175","Room S395","Environmental and Natural Resources 2,","Tucson","Arizona"
"134176","Rm. A114","Roy P. Drachman Hall","Tucson","Arizona"
"134177","Room S395","Environmental and Natural Resources 2,","Tucson","Arizona"
"134178","Rm. A114","Roy P. Drachman Hall","Tucson","Arizona"
"134179","","","",""
"134180","Rm. B109"," Drachman Hall","Tucson","Arizona"
"134181","402","Mathematics","Tucson","Arizona"
"134182","409","Speech And Hearing Sciences","Tucson","Arizona"
"134191","","","",""
"134192","","","",""
"134193","1737 E University Blvd","Stevie Eller Dance Theatre","Tucson","Arizona"
"134194","","","",""
"134195","","","",""
"134196","","","",""
"134197","","","",""
"134198","","","",""
"134199","","","",""
"134200","","","",""
"134201","","","",""
"134202","","","",""
"134203","2951A","Leon Levy Cancer Center","Tucson","Arizona"
"134207","","University of Arizona Mall","Tucson","Arizona"
"134208","","","",""
"134212","","University of Arizona Mall","Tucson","Arizona"
"134214","S107","Env and Nat Resources Phase 2","Tucson","Arizona"
"134215","102","Medical Research Building","Tucson","Arizona"
"134218","Student Union Memorial Center Grand Ballroom","1303 E University Blvd","Tucson","Arizona"
"134219","Rm. B111","Roy P. Drachman Hall","Tucson","Arizona"
"134228","","","",""
"134229","Room 530","Electrical & Computer Engineering","Tucson","Arizona"
"134230","Room 1","Nursing,","Tucson","Arizona"
"134231","Room 1","Nursing,","Tucson","Arizona"
"134232","","","",""
"134236","KIEWIT","Leon Levy Cancer Center","Tucson","Arizona"
"134239","","","",""
"134241","327","Chemistry","Tucson","Arizona"
"134247","","","",""
"134248","Rm. 302","Engineering Bldg. ","Tucson","Arizona"
"134251","","","",""
"134252","","","",""
"134253","","","",""
"134254","","","",""
"134255","","","",""
"134256","","","",""
"134257","","","",""
"134258","","","",""
"134259","2951","Leon Levy Cancer Center","Tucson","Arizona"
"134260","311","Chemistry","Tucson","Arizona"
"134261","Room 821","Meinel Optical Sciences","Tucson","Arizona"
"134262","Rm. 705","Aerospace and Mechanical Engineering","Tucson","Arizona"
"134263","Rm. N715","Aerospace and Mechanical Engineering","Tucson","Arizona"
"134264","Student Union, South Ballroom","1303 E University Blvd","Tucson","Arizona"
"134268","Historic Pima County Courthouse","115 N Church Ave Suite 121","Tucson","Arizona"
"134269","","","",""
"134270","Kuiper Space Sciences Room 308","1629 E. University Blvd.","Tucson","Arizona"
"134271","","1031 N Olive Road","Tucson","Arizona"
"134272","Museum of Art","1031 N Olive Road","Tucson","Arizona"
"134273","Rm. 420","Social Sciences Bldg. ","Tucson","Arizona"
"134274","","","",""
"134285","COE 530","Education","Tucson","Arizona"
"134287","234","Music","Tucson","Arizona"
"134288","","","",""
"134289","Room 253","D Deconcini Environment & NR","Tucson","Arizona"
"134290","1140 E South Campus Dr","Forbes Building Lobby","Tucson","Arizona"
"134291","","","",""
"134292","","","",""
"134293","","","",""
"134294","Kuiper Space Sciences Room 308","1629 E. University Blvd.","Tucson","Arizona"
"134295","Kuiper Space Sciences Room 308","1629 E. University Blvd.","Tucson","Arizona"
"134296","","1508 East Helen Street ","Tucson","Arizona"
"134297","","","",""
"134301","","","",""
"134304","","1670 E Drachman St.","Tucson","Arizona"
"134308","","1601 E University Blvd.","Tucson","Arizona"
"134309","1st floor","1209 E University Blvd","Tucson","Arizona"
"134310","1st floor","1209 E University Blvd","Tucson","Arizona"
"134311","(Room 103)","1657 E. Hellen St","Tucson","Arizona"
"134312","(Room 103)","1657 E. Hellen St","Tucson","Arizona"
"134318","1030 N. Alvernon Way","University of Arizona RISE Health and Wellness Center","Tucson","Arizona"
"134319","","","",""
"134320","","","",""
"134321","","","",""
"134325","","","",""
"134326","","","",""
"134327","","West Mall: Old Main, Fountain","Tucson","Arizona"
"134343","Room 821","Meinel Optical Sciences","Tucson","Arizona"
"134344","","1601 E University Blvd.","Tucson","Arizona"
"134346","","1601 E University Blvd.","Tucson","Arizona"
"134347","","1601 E University Blvd.","Tucson","Arizona"
"134355","S595","Env and Nat Resources Phase 2","Tucson","Arizona"
"134357","320CC","McClelland Hall","Tucson","Arizona"
"134359","","Fountain, Old Main","Tucson","Arizona"
"134360","Meet at the Fountain at Old Main.","Old Main","Tucson","Arizona"
"134361","Meet at the Fountain at Old Main.","Old Main","Tucson","Arizona"
"134364","","John W. Harshbarger Building, room 206","Tucson","Arizona"
"134365","","","",""
"134366","","","",""
"134367","","","",""
"134368","","","",""
"134369","","525 N Bonita Ave","Tucson","Arizona"
"134370","Marshall Building, Room 490","845 N Park Ave","Tucson","Arizona"
"134374","USB - University Service Building","888 N Euclid Ave","Tucson","Arizona"
"134375","1657 E. Helen St.","Thomas W. Keating Bioresearch Building, Rooms 107 and 109,","Tucson, AZ",""
"134378","","","",""
"134379","","1303 E University Blvd","Tucson","Arizona"
"134380","","","",""
"134381","","","",""
"134383","","","",""
"134384","","","",""
"134385","","","",""
"134386","","","",""
"134387","","","",""
"134390","","University of Arizona","Tucson","Arizona"
"134391","","University of Arizona","Tucson","Arizona"
"134392","A118","Roy P. Drachman Hall","Tucson","Arizona"
"134396","","Arizona Stadium","Tucson","Arizona"
"134398","","","Starkville","Mississippi"
"134399","","Arizona Stadium","Tucson","Arizona"
"134400","","44 N. Euclid Ave","Tucson","Arizona"
"134401","","","Stanford","California"
"134402","","Arizona Stadium","Tucson",""
"134403","","","Los Angeles","California"
"134411","","","",""
"134412","","1670 East Drachman Street","Tucson","Arizona"
"134415","","","",""
"134416","Holsclaw Hall","1017 North Olive Road","Tucson","Arizona"
"134417","Holsclaw Hall","1017 North Olive Road","Tucson","Arizona"
"134418","","","Tucson","Arizona"
"134419","Crowder Hall","1017 North Olive Road","Tucson","Arizona"
"134420","Crowder Hall","1017 North Olive Road","Tucson","Arizona"
"134421","Meinel 307","1630 E University Blvd St","Tucson","Arizona"
"134422","","","",""
"134428","1721 E. Enke Dr.","McKale Memorial Center,","Tucson, AZ",""
"134429","","","",""
"134431","","","",""
"134432","1721 E. Enke Dr.","McKale Memorial Center,","Tucson, AZ",""
"134433","","","",""
"134434","1721 E. Enke Dr.","McKale Memorial Center,","Tucson","Arizona"
"134435","1657 E. Helen St.","BIO5 Institute, Room 103,","Tucson","Arizona"
"134438","3233 E. Speedway Blvd.","The Loft Cinema,","Tucson, AZ",""
"134440","3915 E. Broadway Blvd.","Consulate of Mexico,","Tucson, AZ",""
"134442","","","",""
"134443","","","",""
"134444","","","",""
"134445","1013 E. University Blvd.","Arizona State Museum,","Tucson","Arizona"
"134455","","Gesa Field,","Pullman, WA",""
"134456","","Arizona Stadium","Tucson","Arizona"
"134457","","Arizona Stadium","Tucson","Arizona"
"134458","","Folsom Field","Boulder","Colorado"
"134459","","Arizona Stadium","Tucson, AZ",""
"134460","","Sun Devil Stadium","Tempe","Arizona"
"134462","","","",""
"134463","","","",""
"134464","","","",""
"134465","","","",""
"134469","1670 E. Drachman St.","Health Sciences Innovation Building, Forum 100B,","Tucson, AZ",""
"134472","","","",""
"134475","1340 E. University Blvd.","Henry Koffler Building, Room 218,","Tucson, AZ",""
"134478","1303 E. University Blvd.","Student Union Memorial Center, Kiva Room,","Tucson, AZ",""
"134485","","","",""
"134486","","","",""
"134487","","","",""
"134491","1428 E. University Blvd.","Bear Down Gym,","Tucson, AZ",""
"134492","1428 E. University Blvd.","Bear Down Gym,","Tucson, AZ",""
"134493","1657 E. Helen St.","BIO5 Institute,","Tucson, AZ",""
"134494","1303 E. University Blvd.","Student Union Memorial Center, Grand Ballroom,","Tucson, AZ",""
"134500","","","",""
"134502","","1025 N Olive Rd","Tucson","Arizona"
"134503","","1025 N Olive Rd","Tucson","Arizona"
"134505","","Online","Tucson","Arizona"
"134506","Bear Down Gym Building, Rm. 302","1435 E 4th Street","Tucson","Arizona"
"134513","3838 N. Campbell Ave.","UA Cancer Center North,","Tucson, AZ",""
"134517","","","",""
"134518","","","",""
"134519","","","",""
"134520","","","",""
"134521","","","",""
"134522","1064 E. Lowell St.","ENR2 Building, Room S215,","Tucson, AZ",""
"134523","","","",""
"134524","1013 E. University Blvd.","Arizona State Museum,","Tucson, AZ",""
"134525","1013 E. University Blvd | Just inside the Main Gate at Park Ave and University Blvd","Arizona State Museum","TUCSON","Arizona"
"134528","1025 N. Olive Rd.","Tornabene Theatre,","Tucson, AZ",""
"134529","1670 E. Drachman St.","Health Sciences Innovation Building,","Tucson, AZ",""
"134530","1230 E. Speedway Blvd.","Electrical and Computer Engineering Building, Room 234,","Tucson, AZ",""
"134531","44 N. Stone Ave.","FORGE at Roy Place,","Tucson, AZ",""
"134535","1031 N. Olive Rd.","UA Museum of Art,","Tucson, AZ",""
"134538","1031 N. Olive Rd.","UA Museum of Art,","Tucson, AZ",""
"134540","1031 N. Olive Rd.","UA Museum of Art,","Tucson, AZ",""
"134542","1031 N. Olive Rd.","UA Museum of Art,","Tucson, AZ",""
"134543","1031 N. Olive Rd.","UA Museum of Art,","Tucson, AZ",""
"134544","1017 N. Olive Rd. ","School of Music,","Tucson, AZ",""
"134545","1017 N. Olive Rd.","School of Music, Holsclaw Hall,","Tucson, AZ",""
"134546","","","",""
"134547","","","",""
"134548","1064 E. Lowell St.","ENR2 Building, Room N595,","Tucson, AZ",""
"134549","","","",""
"134550","","","",""
"134551","","","",""
"134552","","","",""
"134553","1630 E. University Blvd.","Meinel Optical Sciences Building, Room 307,","Tucson, AZ",""
"134557","","","",""
"134559","200 S. 6th Ave.","Children's Museum Tucson,","Tucson, AZ",""
"134562","","","",""
"134564","","","",""
"134565","1303 E. University Blvd.","UA Mall,","Tucson, AZ",""
"134566","College of Education, Worlds of Words Center","1430 E Second St, Rm 453","Tucson","Arizona"
"134567","","","",""
"134568","1423 E. University Blvd.","Modern Languages Building, Room 411,","Tucson, AZ",""
"134571","44 N. Stone Ave.","FORGE at Roy Place,","Tucson, AZ",""
"134573","","","",""
"134574","","1303 E University Boulevard","Tucson","Arizona"
"134577","1030 N. Olive Road","Center for Creative Photography","Tucson","Arizona"
"134582","","2720 E. River Road","Tucson","Arizona"
"134583","San Pedro Room","1303 E University Blvd","Tucson","Arizona"
"134584","","","",""
"134585","","","",""
"134587","Student Services, Rm 201","1430 E 2nd St","Tucson","Arizona"
"134589","WOW Center, UArizona College of Education","1430 E Second St, Rm 453","Tucson","Arizona"
"134590","College of Education, Worlds of Words Center","1430 E Second St, Rm 453","Tucson","Arizona"
"134592","","","",""
